name,subway,distance,overall_rating,location_lat,location_lng
猎德涌,猎德,460,2,23.126637,113.34262
三娘古道,员村,824,5,23.12165,113.36236
大家讲堂,员村,626,3,23.117924,113.37511
尹定邦艺术馆,员村,545,1.3,23.119774,113.3754
邓勃艺术馆,员村,629,1.3,23.118137,113.37533
绿瓦亭公园,澜石,914,4,22.998144,113.112724
思源胜境,澜石,472,4,22.991377,113.11812
沙墟一公园,番禺广场,997,5,22.948725,113.3856
科尔海悦智慧旅游中心,番禺广场,272,4.4,22.940489,113.38962
平康公园,番禺广场,559,3,22.946825,113.391106
中央公园,番禺广场,661,2,22.935972,113.3908
炳灵古庙,番禺广场,911,1,22.948362,113.386444
海心园,海心沙,353,5,23.117594,113.327446
广州塔瞭望镜,海心沙,621,5,23.111712,113.33043
广东省博物馆,海心沙,442,4.7,23.12053,113.333405
广州塔-珠江摄影观景平台,海心沙,621,4.7,23.111712,113.33043
海心沙亚运公园,海心沙,58,4.5,23.117277,113.33147
宏城公园,海心沙,738,4.5,23.11638,113.32373
越秀南粤先贤公园,海心沙,807,4.5,23.115458,113.32324
天后庙,海心沙,697,4.3,23.119772,113.33715
广州塔-E区观光层,海心沙,555,4.3,23.112295,113.33103
广州名人蜡像馆,海心沙,550,4.2,23.112335,113.33101
花城广场音乐喷泉,海心沙,692,4,23.123512,113.3311
广州塔观光区西登塔,海心沙,621,3,23.111712,113.33043
亚运展馆,海心沙,207,1,23.1179,113.32897
海心沙码头,海心沙,285,4.3,23.116295,113.333466
天主教圣母无原罪堂,普君北路,310,5,23.031822,113.12688
钟楼,普君北路,639,5,23.035566,113.12345
广东粤剧博物馆,普君北路,264,5,23.032991,113.12677
紫霄宫,普君北路,920,5,23.035145,113.120476
卡乐奇儿童乐园(名汇店),普君北路,255,5,23.035667,113.13016
褒宠牌坊,普君北路,945,5,23.035051,113.1202
桂园社区公园,普君北路,561,5,23.037868,113.13208
庆真楼,普君北路,932,5,23.035402,113.120415
兆祥公园,普君北路,279,4.4,23.032867,113.126656
永安公园,普君北路,954,4.4,23.041983,113.1278
佛山黄飞鸿纪念馆,普君北路,947,4.2,23.035744,113.12035
李众胜堂祖铺,普君北路,782,3.8,23.035206,113.121864
祖庙,普君北路,952,3.7,23.034735,113.12008
清咸丰黄祥华祖铺,普君北路,742,3.7,23.03575,113.12246
余仁生博物馆,普君北路,730,3.7,23.035215,113.1224
文会里嫁娶屋,普君北路,702,3.3,23.035833,113.1229
叶问堂,普君北路,989,3.2,23.035095,113.119774
龙塘诗社,普君北路,770,3.2,23.0355,113.12208
孔庙,普君北路,998,3,23.034143,113.11955
太上庙,普君北路,245,3,23.031553,113.12819
金士迪游乐园,白云公园,651,4.6,23.18854,113.27099
广州市儿童公园,白云公园,315,4.3,23.19049,113.27876
云溪生态公园,白云公园,993,4.2,23.188778,113.28702
体育花园,白云公园,505,3.5,23.189392,113.28203
肇庆会馆遗址,市二宫,972,5,23.120775,113.27428
天字码头,市二宫,986,4.6,23.121002,113.27767
一劳大旧址,市二宫,738,3.3,23.116346,113.270615
海贝儿儿童游乐园,科韵路,964,4.4,23.132105,113.38976
粤秀书院,纪念堂,882,5,23.146038,113.2715
秦代造船遗址,纪念堂,926,5,23.132612,113.276474
南越王宫御苑,纪念堂,919,5,23.132711,113.27648
五仙人雕塑,纪念堂,633,5,23.143951,113.26987
忠佑广场,纪念堂,996,5,23.132168,113.27696
广东省广业轻化工业集团多煤体会议室,纪念堂,396,5,23.137222,113.27353
越秀公园,纪念堂,938,4.5,23.146397,113.27223
孙中山先生铜像,纪念堂,157,4.5,23.139143,113.27101
高剑父纪念馆,纪念堂,543,4.5,23.142767,113.26775
中山纪念堂,纪念堂,214,4.4,23.139774,113.2711
西汉南越王博物馆,纪念堂,696,4.4,23.144169,113.267555
广州博物馆,纪念堂,684,4.3,23.144093,113.271935
广州南越王宫博物馆,纪念堂,881,4.3,23.133099,113.27635
五羊石雕,纪念堂,656,4.2,23.144146,113.26939
光孝寺,纪念堂,767,4.2,23.135023,113.26318
六榕塔,纪念堂,533,4.2,23.134464,113.26662
三元宫,纪念堂,272,4.2,23.140697,113.26954
千年古道遗址,纪念堂,954,4.2,23.131262,113.27522
广州美术馆,纪念堂,763,4.2,23.14386,113.27412
广州古城墙,纪念堂,486,4.1,23.142635,113.26991
碰碰车,汉溪长隆,833,5,23.006786,113.33733
U型滑板,汉溪长隆,734,5,23.005915,113.336426
长隆主题公园,汉溪长隆,850,4.5,23.006935,113.33609
长隆万圣节,汉溪长隆,648,4.2,23.005024,113.338066
长隆欢乐世界,汉溪长隆,608,4.1,23.004786,113.336815
哈比儿童王国,汉溪长隆,475,4,23.003567,113.337265
飞马家庭过山车,汉溪长隆,551,3.5,23.003716,113.33428
急流勇进,汉溪长隆,504,2,23.003557,113.335
汉溪村人口计生主题公园,汉溪长隆,543,1,22.994478,113.336
海心园,花城大道,895,5,23.117594,113.327446
广东省博物馆,花城大道,525,4.7,23.12053,113.333405
海心沙亚运公园,花城大道,840,4.5,23.117277,113.33147
天后庙,花城大道,822,4.3,23.119772,113.33715
花城广场音乐喷泉,花城大道,147,4,23.123512,113.3311
亚运展馆,花城大道,806,1,23.1179,113.32897
海心沙码头,花城大道,975,4.3,23.116295,113.333466
洞天福地,中大,782,5,23.091484,113.30141
马丁堂,中大,810,5,23.103348,113.30528
纯阳观,中大,768,4.3,23.091562,113.30117
孙中山纪念馆,中大,594,4.3,23.10258,113.30306
陈寅恪故居,中大,813,4,23.10268,113.30594
康乐园早期建筑群,中大,573,4,23.101944,113.30354
中山大学生物博物馆,中大,359,3.7,23.099714,113.30272
漱珠岗,中大,780,3,23.091303,113.299934
中山大学-人类学博物馆,中大,821,3,23.103281,113.305504
西聚园,中大,334,3,23.10131,113.29937
柒柒柒艺术馆,白云文化广场,730,5,23.193295,113.28843
广州市儿童公园,白云文化广场,716,4.3,23.19049,113.27876
云溪生态公园,白云文化广场,970,4.2,23.188778,113.28702
体育花园,白云文化广场,756,3.5,23.189392,113.28203
唐翠园,同济路,628,4,23.020012,113.11155
置业公园,同济路,462,4,23.02759,113.11166
垂虹公园,同济路,393,3.9,23.025845,113.11858
开心果乐园(佛山店),同济路,887,3.9,23.016768,113.114334
季华园,同济路,961,3.8,23.01643,113.11758
通济桥,同济路,843,3.7,23.023396,113.12305
欢馨儿童乐园,同济路,358,3.6,23.024456,113.11144
金银岛水城,同济路,170,3.5,23.026129,113.1156
铁军公园,同济路,757,3.5,23.02937,113.10953
佛山乐园,同济路,221,3.2,23.02642,113.116066
鸿业公园,同济路,417,3,23.022966,113.11854
南榕园,同济路,424,3,23.021746,113.11234
广州市白云山风景名胜区管理局思园管理室,白云大道北,980,5,23.225365,113.31408
华夏美术展览中心,白云大道北,917,5,23.220167,113.304436
东凯旅游(永泰店),白云大道北,688,5,23.224405,113.31021
磨碟沙公园,赤岗,878,3.6,23.109842,113.339806
白云永泰乒乓体育公园,永泰,623,5,23.220806,113.3117
广州市白云山风景名胜区管理局思园管理室,永泰,160,5,23.225365,113.31408
东凯旅游(永泰店),永泰,346,5,23.224405,113.31021
颐和大酒店-会议厅,永泰,749,0,23.225515,113.320175
四方帽,淘金,852,5,23.14497,113.3011
血祭轩辕亭,淘金,778,5,23.135708,113.2935
西亭,淘金,859,5,23.146313,113.30057
小天使乐园,淘金,777,5,23.135918,113.29498
乡土植物区,淘金,792,5,23.144665,113.30059
黄花岗黄花井,淘金,982,5,23.145777,113.30215
广州起义烈士陵园-游艇部,淘金,673,5,23.136652,113.293465
纪功坊,淘金,935,5,23.14701,113.300995
地界碑亭,淘金,926,5,23.145674,113.301605
邓荫南墓园,淘金,644,5,23.138678,113.29768
黄花亭,淘金,952,5,23.145578,113.30192
四方池,淘金,924,5,23.145945,113.30146
广州革命历史博物馆,淘金,946,4.7,23.134771,113.28978
艺海堂美术馆,淘金,938,4.7,23.137873,113.30067
蓝宝石艺术馆,淘金,337,4.5,23.1421,113.29638
广州起义烈士陵园花卉馆,淘金,991,4.5,23.133783,113.29311
黄花岗公园,淘金,938,4.3,23.146004,113.30158
艺术博物院,淘金,961,4,23.149273,113.28703
中苏人民血谊亭,淘金,755,4,23.136005,113.294426
白云儿童公园,横沙,958,4,23.167204,113.22192
