name,subway,distance,service_rating,price,environment_rating,overall_rating,location_lat,location_lng
芳草堂,花地湾,839,0,99,0,4.2,23.09998,113.2379
平步青云沐足堂,团一大广场,201,0,135,0,4.5,23.122515,113.284004
P-PASS派歌量贩式KTV,团一大广场,315,0,65,0,4.5,23.121454,113.28405
育泉休闲中心,团一大广场,728,0,50,0,3.1,23.129032,113.289444
Cocok,团一大广场,816,0,50,0,4.4,23.121426,113.2772
银海KTV,团一大广场,443,0,75,0,4.5,23.121895,113.28107
活力无限KTV(北京路店),团一大广场,925,0,61,0,3.9,23.127003,113.27603
嘉年华芬兰馆,团一大广场,401,0,328,0,4.4,23.127851,113.2842
I do 烘焙坊(文明路店),团一大广场,621,0,63,0,4.1,23.129412,113.28222
沐足城,团一大广场,575,0,68,0,-1,23.126305,113.2794
益康理疗盲人按摩中心,团一大广场,266,0,105,0,3.3,23.12291,113.28241
熙园休闲中心,团一大广场,792,0,55,0,4,23.120329,113.29104
风吕足道休闲中心,团一大广场,999,0,101,0,3.8,23.127258,113.27535
悦康推拿,团一大广场,558,0,70,0,3.5,23.128586,113.28732
小朱沐足馆(北京路店),团一大广场,904,0,89,0,4.3,23.127487,113.27645
东川休闲俱乐部,团一大广场,922,0,80,0,4,23.127098,113.29304
广州声工场录音棚(扬声影视),团一大广场,856,0,497,0,5,23.129707,113.27866
逃出广州,团一大广场,889,0,68,0,4,23.12757,113.27665
F276,团一大广场,471,0,164,0,4.4,23.121574,113.281
摩斯广州真人密室逃脱,团一大广场,702,0,52,0,3.8,23.118126,113.28288
水都休闲商务酒店,西场,486,0,118,0,3.7,23.147276,113.24308
友明堂棋牌,西场,165,0,50,0,3.9,23.143387,113.24297
古淳,西场,516,0,157,0,3.9,23.141958,113.23967
金濠休闲中心,西场,742,0,80,0,3.2,23.140217,113.238014
足语轩养生馆,西场,955,0,51,0,5,23.13755,113.25168
渔人码头钓虾场,坦尾,681,0,60,0,3.9,23.133755,113.23071
怡心阁,梅花园,122,0,81,0,3.6,23.182095,113.32774
