name,subway,distance,service_rating,price,overall_rating,facility_rating,hygiene_rating,location_lat,location_lng
广州xbed互联网酒店邦泰国际店,赤岗,496,3.9,301,4.1,3.9,4,23.104734,113.34548
广州沃嘉酒店,赤岗,493,4.1,218,4.1,4,4.2,23.103107,113.34627
绿景公寓酒店,赤岗,261,4,185,4.1,3.8,3.9,23.101995,113.339005
嘉驿国际酒店公寓（广州赤岗纵横广场店）,赤岗,465,4.3,147,4.1,4.2,4.2,23.101465,113.33707
私享家公寓酒店(纵横公寓广场店),赤岗,457,4.1,198,4.1,4.2,4.2,23.101694,113.33711
凯荣都国际大酒店,赤岗,462,4,297,4,3.8,4.1,23.098343,113.33964
IU酒店广州客村地铁站琶洲会展中心店,赤岗,459,4.3,187,4,4.3,4.4,23.101475,113.33713
锦堂酒店,赤岗,555,4.2,88,4,4.1,4.3,23.10175,113.33614
广州福临公寓,赤岗,990,0,75,4,2.5,2.5,23.093296,113.34295
广州佰运行程酒店琶洲店,赤岗,262,2.4,140,3.9,3,3.6,23.101997,113.339
99连锁酒店广州海珠赤岗店,赤岗,979,4.2,88,3.9,3.7,4,23.093592,113.34401
朗逸商务酒店,赤岗,96,4,88,3.8,3.9,4.1,23.10135,113.34202
穗海酒店,赤岗,111,4.5,244,3.8,1,1,23.10135,113.34227
海月酒店,赤岗,302,4.2,152,3.8,4.1,4.1,23.100557,113.33913
广州新村迎宾住宿,赤岗,990,4,58,3.8,3.5,4.3,23.093296,113.34295
广州惠民公寓,赤岗,998,5,48,3.8,4.5,5,23.093292,113.34339
原力酒店,赤岗,607,3.9,188,3.7,3.9,3.9,23.101803,113.33563
金港商务宾馆,赤岗,959,4.1,138,3.7,3.9,4.2,23.101751,113.33219
广州白云金腾宾馆,永泰,893,3.5,107,3.5,3,4,23.233576,113.309166
京都商务酒店,永泰,826,3.3,118,3.4,3.4,3.4,23.223166,113.30556
广州永泰联合公寓,永泰,69,0,58,3,0,0,23.225683,113.31292
永泰宾馆,永泰,691,2.5,112,2.7,2.5,2.5,23.232418,113.3116
汇泰宾馆,永泰,599,2.6,92,2.7,2.4,2.5,23.227327,113.30713
广州金雨酒店,永泰,55,4.5,108,2.5,3.1,4.6,23.22677,113.313095
广州巷子深住宿,永泰,667,0,43,2.3,0,0,23.232212,113.31171
广州永康住宿,永泰,568,0,56,2.3,0,0,23.23124,113.31141
永兴公寓,永泰,545,0,82,2.2,0,0,23.230421,113.30998
永兴宾馆,永泰,608,2,112,2,2,2,23.224377,113.30732
闽鸿宾馆,永泰,624,0,87,1.9,0,0,23.23157,113.31075
广州永泰平安住宿,永泰,596,0,44,-1,0,0,23.230734,113.30959
广州99公寓永泰地铁站店,永泰,220,0,93,-1,0,0,23.226501,113.31074
广州白云区金腾宾馆永泰店,永泰,890,0,78,-1,0,0,23.23359,113.30926
广州永泰张叔住宿,永泰,556,0,66,-1,0,0,23.231146,113.311485
广州旺豪·正佳东方国际公寓,淘金,145,4.2,235,4.3,4.2,4.3,23.142002,113.29434
金苑酒店,淘金,979,0,297,4.1,3.6,3.9,23.151943,113.29722
广东亚洲国际大酒店(广州),淘金,704,4.3,507,4.2,4.2,4.4,23.144485,113.28653
7天连锁酒店(广州建设大马路店),淘金,674,4.4,199,4.2,4.2,4.4,23.140251,113.2871
广储宾馆,淘金,865,4.3,154,4.2,4.1,4.2,23.142653,113.284676
广州礼途酒店,淘金,332,4.6,386,4.1,4.7,4.7,23.139961,113.291824
广州粤北酒店,淘金,627,4,188,4.1,4,4.2,23.137777,113.29013
广视宾馆,淘金,730,4.3,216,4.1,4.1,4.3,23.147648,113.288445
广州汇众服务式酒店公寓中山肿瘤医院时代YOU店,淘金,534,4.1,208,4.1,4,4,23.137909,113.29356
广州家俱乐部世贸宾馆,淘金,245,4.1,170,4.1,3.9,4,23.143307,113.290825
7天连锁酒店(区庄地铁站店),淘金,921,4.5,197,4.1,4.4,4.5,23.140345,113.30178
文星连锁酒店区庄店,淘金,900,4,189,4.1,3.7,4.1,23.140184,113.30151
好世界酒店公寓(建设五马路店),淘金,317,3.8,520,4,3.7,3.9,23.140963,113.29067
7天连锁酒店(世贸中心店),淘金,297,4.6,211,4,4.4,4.6,23.140171,113.294106
7天连锁酒店(广州淘金地铁站店),淘金,638,3.3,100,4,3.7,3.8,23.148418,113.293655
格林豪泰酒店广州东风东路店,淘金,931,0,167,4,3,4,23.137232,113.28623
7天连锁酒店(广州环市中广东电视台店),淘金,793,4.5,169,4,4.4,4.4,23.147406,113.2873
7天连锁酒店(环市中二店),淘金,797,4.3,159,4,4.2,4.3,23.142847,113.28534
华庭宾馆,淘金,928,3,158,4,3.4,2.9,23.141031,113.30204
广州桂圆公寓,淘金,893,5,144,4,4.9,5,23.150675,113.29419
尚德酒店,华师,144,4.2,322,4.2,4.2,4.4,23.145247,113.35099
广东蓄能大厦(酒店),华师,518,4.3,279,4.2,4.1,4.5,23.143185,113.34806
文星连锁酒店龙口东店,华师,557,4.1,189,4.2,3.8,4.1,23.144424,113.34679
汉庭酒店(龙口东路店),华师,583,4.5,178,4.2,3.8,4.4,23.144127,113.34665
汉庭酒店(天河岗顶店),华师,903,4.3,178,4.2,4.1,4.4,23.143452,113.343575
广州柏林青年公寓,华师,808,3,28,4.2,2.8,2.8,23.14033,113.347305
广州佰恒国际公寓酒店,华师,721,4.1,498,4.2,4.1,4.2,23.142588,113.34604
如家快捷酒店(短租自助公寓天河北店),华师,499,4,153,4.1,3.8,3.9,23.148083,113.34738
佳园连锁酒店广州岗顶店,华师,587,4.3,148,4.1,4,4.3,23.141068,113.35087
海友酒店(广州天河龙口东店),华师,586,4.3,132,4.1,3.9,4.2,23.143892,113.34673
如家快捷酒店(石牌东店),华师,875,4.2,203,4.1,4,4.2,23.138657,113.34967
文星连锁酒店华师店,华师,307,4.2,209,4,4,4.2,23.146023,113.34886
亿信商务宾馆,华师,370,3.9,149,4,3.6,3.7,23.145239,113.34841
广州2099爱情酒店(华师分店）,华师,154,3.9,263,4,3.9,4,23.145452,113.35064
广州啡酒店（天河北店）,华师,706,4.2,216,4,4.1,4.3,23.149626,113.34599
广州凡偲酒店,华师,386,4.6,258,4,4.4,4.4,23.149738,113.35206
7天连锁酒店(广州天河岗顶龙口西路店),华师,956,4.3,169,4,4.2,4.1,23.144003,113.34283
如家快捷酒店(理工大学店),华师,984,4,256,4,3.7,3.8,23.154896,113.35403
广州她他会酒店天河北路店,华师,498,3.7,268,4,4.4,4.4,23.146446,113.34699
7天优品酒店(广州华师地铁站店),华师,263,4.5,200,3.9,4.4,4.5,23.148626,113.352104
逸米酒店广州宝岗大道地铁站店,宝岗大道,476,4,136,3.9,3.9,3.8,23.090904,113.271706
科尔酒店,宝岗大道,865,4,235,3.9,3.9,4.1,23.09966,113.27378
逸米酒店广州宝岗大道燕子岗店,宝岗大道,812,0,168,3.9,4.4,2.7,23.086248,113.280785
广州J,宝岗大道,748,4,134,3.9,3.8,3.8,23.096703,113.281586
多宝酒店(人来人往分店),宝岗大道,910,4.1,168,3.8,4.2,4.4,23.091862,113.28504
怡园宾馆,宝岗大道,572,3.7,248,3.6,3.5,3.7,23.087183,113.27748
索非特酒店,宝岗大道,644,3.6,132,3.6,3.5,3.5,23.088314,113.27146
广州旅游宾馆,宝岗大道,989,3,111,3.6,3,3,23.100773,113.2787
恒达宾馆(庄头东边街),宝岗大道,613,3.6,168,3.6,3.6,3.8,23.087208,113.27356
金珀公寓,宝岗大道,749,3.7,138,3.5,3.4,3.5,23.096592,113.2817
花young文艺青年公寓(昌岗店),宝岗大道,932,0,53,3.5,0,0,23.098143,113.28257
君皇商务酒店,宝岗大道,673,3.5,73,3.4,3.3,3.5,23.097525,113.27304
广州市海珠区昌中宾馆,宝岗大道,89,4,118,3.2,3.5,3.7,23.091858,113.27535
广州星都大酒店,宝岗大道,514,3.4,208,3.2,3.1,3.4,23.09432,113.28062
柏元宾馆,宝岗大道,143,2.7,116,2.9,2.5,2.6,23.09093,113.27648
逸米酒店广州宝岗大道地铁站二店,宝岗大道,159,3.4,118,2.4,3.1,3.3,23.09231,113.2777
广州海珠鑫福宾馆,宝岗大道,818,2.8,118,2.4,3.3,2.8,23.097036,113.270134
心港湾公寓,宝岗大道,611,0,0,-1,0,0,23.087303,113.27341
广州新兴住宿,宝岗大道,818,0,0,-1,0,0,23.08734,113.28218
粤都宾馆,燕塘,316,3.7,212,3.8,3.4,3.7,23.16318,113.334816
金源商务宾馆,燕塘,403,2.1,143,3.7,2.1,2.3,23.162586,113.33555
东莞庄旅店,燕塘,953,3.3,111,3.7,3.2,3.3,23.162498,113.34259
易顺宾馆,燕塘,939,3.7,107,3.6,3.8,3.9,23.17357,113.33009
智杰公寓,燕塘,578,4.6,84,3.2,4,4.2,23.169304,113.32973
军工宾馆,燕塘,390,2.9,89,2.8,1.9,2.5,23.164364,113.33063
鑫安宾馆,燕塘,322,0,173,2.3,0,0,23.167715,113.33654
广州天平架招待所,燕塘,383,2.3,58,2.2,2,1.9,23.164768,113.33051
索特来文艺酒店(天平架店),燕塘,407,0,0,-1,0,0,23.16453,113.33036
我家连锁公寓,广州南站,835,4.9,0,4.8,4.9,4.8,22.987818,113.27723
四月精品公寓（广州长隆南站时空公馆店）,广州南站,877,4.9,0,4.8,4.8,4.9,22.987452,113.27738
广州e家人宾馆,广州南站,699,5,0,4.8,4.8,5,23.001602,113.277214
广州南站LC朗程快捷酒店,广州南站,955,0,120,4.8,0,0,22.9924,113.268
广州花园别墅宾馆,广州南站,951,5,68,4.8,4.3,5,23.003866,113.27628
广州衡阳人家,广州南站,707,5,95,4.8,4.4,5,23.001678,113.27647
广州南站圆申都市公寓,广州南站,981,5,105,4.8,5,5,22.987688,113.271965
广州南站便捷酒店,广州南站,288,4.8,88,4.7,4.5,4.7,22.993914,113.274414
广州南站-倾城酒店,广州南站,334,4.7,75,4.7,4.5,4.7,22.993788,113.27397
广州聚缘公寓,广州南站,247,4.8,0,4.7,4.7,4.8,22.994125,113.27474
广州布丁连锁酒店公寓,广州南站,430,5,0,4.7,4,5,22.991861,113.274895
奥因斯国际公寓,广州南站,748,0,138,4.7,0,0,22.988617,113.27742
广州外婆家快捷酒店,广州南站,778,4.8,73,4.7,4.5,4.7,23.002329,113.27679
高赛思酒店公寓（南站店）,广州南站,757,0,188,4.7,0,0,22.994987,113.28417
广州南站365快捷宾馆,广州南站,628,0,94,4.7,3,3,22.991287,113.27249
广州南站汉延快捷宾馆,广州南站,318,0,96,4.7,0,0,22.995823,113.27372
广州南途快捷酒店,广州南站,953,4.8,108,4.7,4.7,4.7,22.992588,113.26796
7加1快捷酒店（韦涌路店）,广州南站,937,0,70,4.7,4.5,5,22.987402,113.27364
广州南站客栈,广州南站,961,4.8,96,4.7,4.7,4.8,22.992552,113.26789
广州南站-美心快捷酒店,广州南站,282,4.8,90,4.6,4.5,4.6,22.993664,113.2747
海友酒店(广州市二宫纺织码头店),海珠广场,753,4.4,135,4.2,4,4.3,23.117664,113.27859
广州天星酒店,海珠广场,947,3.8,151,4.2,3.6,3.9,23.123272,113.263306
私享家连锁酒店公寓(广州北京路锦源店),海珠广场,568,4.2,228,4.2,4.1,4.2,23.124968,113.27606
华厦大酒店,海珠广场,211,4.2,493,4.1,4,4.3,23.120983,113.27435
广州旺豪万艺国际公寓海珠广场店,海珠广场,181,4.1,264,4.1,4.1,4.4,23.12211,113.27377
宝轩酒店,海珠广场,463,4.1,277,4.1,3.9,4.2,23.123684,113.26866
广州爱东精品酒店(海珠广场大德路店),海珠广场,579,4.1,267,4.1,3.9,4.3,23.12444,113.26785
广州海俊酒店,海珠广场,902,4,204,4.1,3.8,4,23.121994,113.28108
广州E嘉酒店公寓（北京路锦源店）,海珠广场,521,0,178,4.1,4,3.6,23.124823,113.27554
锦泰酒店,海珠广场,428,3.5,223,4.1,3.2,3.5,23.124392,113.27466
广州亮星酒店,海珠广场,584,4.4,137,4.1,4,4.3,23.124598,113.276665
上苑连锁酒店,海珠广场,986,4.3,179,4.1,4.3,4.5,23.121237,113.26265
广州民间金融大厦酒店公寓(原富丽华大酒店),海珠广场,846,3.9,0,4.1,4.1,4.2,23.117254,113.26522
广州茶阳国际酒店公寓北京路金润铂宫店,海珠广场,996,4.1,358,4.1,4.1,4.1,23.129143,113.276825
广州宾馆,海珠广场,122,4.1,340,4,3.6,4.1,23.122292,113.27213
7天连锁酒店(北京路地铁站店),海珠广场,600,4.4,159,4,4.1,4.3,23.122465,113.278015
泰古商务酒店,海珠广场,487,4,208,4,3.7,3.9,23.125484,113.27124
迎商金艺宾馆,海珠广场,531,4,150,4,3.8,4,23.124092,113.26815
汉庭酒店(江湾店),海珠广场,869,4.6,183,4,3.9,4.1,23.122427,113.2807
一德宾馆,海珠广场,445,3.4,222,4,3.2,3.4,23.119892,113.26819
华侨友谊酒店,岗顶,738,4.4,330,4.4,4.2,4.4,23.137016,113.34002
广州蜜语主题酒店,岗顶,722,4.1,285,4.4,4.2,4.3,23.14543,113.3508
广州颐园酒店公寓（地中海店）,岗顶,371,4.5,272,4.4,4.3,4.5,23.13824,113.34352
莱福·广武酒店,岗顶,91,4.1,303,4.3,3.7,3.9,23.140728,113.345276
7天连锁酒店(广州天河岗顶龙口东路店),岗顶,398,4.2,169,4.3,4.1,4.3,23.144007,113.34714
7天优品酒店(天河岗顶地铁站店),岗顶,347,4.5,249,4.3,4.4,4.5,23.140354,113.34955
广州天美酒店,岗顶,978,3.2,304,4.3,2.8,4,23.139654,113.33663
雪龙商务酒店,岗顶,966,4.5,199,4.3,4.4,4.6,23.136833,113.3376
广州暨南大学校园青年公寓,岗顶,527,2,53,4.3,2,3,23.141655,113.351166
雅诗阁服务公寓(天河东路店),岗顶,667,4.5,870,4.3,4.4,4.6,23.141102,113.339645
广州悦华大厦(悦华法官培训中心酒店),岗顶,277,4.1,288,4.2,3.9,4.2,23.142733,113.34744
如家快捷酒店(广州天河岗顶店),岗顶,368,4.2,183,4.2,4,4.2,23.142998,113.348564
汉庭酒店(天河岗顶店),岗顶,417,4.3,178,4.2,4.1,4.4,23.143452,113.343575
石牌酒店,岗顶,528,4.2,316,4.2,4.1,4.3,23.139885,113.34103
广东蓄能大厦(酒店),岗顶,352,4.3,279,4.2,4.1,4.5,23.143185,113.34806
文星连锁酒店龙口东店,岗顶,436,4.1,189,4.2,3.8,4.1,23.144424,113.34679
汉庭酒店(龙口东路店),岗顶,402,4.5,178,4.2,3.8,4.4,23.144127,113.34665
广州珠江新城希尔顿欢朋酒店,岗顶,958,4.5,599,4.2,4.5,4.7,23.132402,113.34924
广州柏林青年公寓,岗顶,120,3,28,4.2,2.8,2.8,23.14033,113.347305
尚德酒店,岗顶,720,4.2,322,4.2,4.2,4.4,23.145247,113.35099
柏悦宾馆,南洲,928,1,118,3,3.6,3.6,23.077026,113.29958
九天酒店,南洲,388,4.5,109,2.9,4.5,4.5,23.070238,113.30815
八天宾馆,南洲,516,2.5,48,2.6,2.6,2.9,23.072832,113.30831
新通悦宾馆,南洲,929,2.5,188,2.5,2.4,2.6,23.074896,113.311676
天鸿宾馆,南洲,678,3,98,2.3,2,2.2,23.071474,113.310776
良人宾馆,南洲,956,0,101,1.9,0,0,23.076183,113.29795
广州新星辰宾馆,南洲,745,0,122,1.8,0,0,23.0737,113.29834
广州龙飞宾馆,南洲,604,0,98,1.6,0,0,23.067171,113.29928
东海大厦,小北,312,4.2,216,3.8,4,4.2,23.144924,113.28585
宏粤商务宾馆,小北,626,2,118,3.7,1,1,23.14241,113.27801
莱克酒店,小北,344,3.3,187,3.6,3.3,3.3,23.144957,113.28619
广州锦豪宾馆,小北,916,3.7,118,3.6,3.6,3.7,23.139181,113.28832
新登峰宾馆,小北,173,3.9,123,3.5,3.4,3.7,23.14688,113.281746
广州湘鸿酒店(第二分店),小北,640,2.1,130,3.4,1.9,2,23.15149,113.28226
广州百顺宾馆,小北,305,4.5,138,3.3,2,2,23.145906,113.28591
台城大酒店,小北,485,4,174,3.2,3.8,4.1,23.14341,113.27894
花城宾馆·北楼,小北,264,3,143,3.2,2.8,3.2,23.144222,113.28097
富港酒店,小北,446,3.6,247,3.1,3.3,3.7,23.149374,113.28484
百讯酒店,小北,596,2.9,136,3.1,2.5,2.7,23.150755,113.280785
兆鹰酒店,小北,622,0,155,3.1,2,2,23.151224,113.284294
广州背包客青年旅舍,小北,400,3.6,50,3,3.6,3.6,23.14635,113.279076
宇通大酒店,小北,644,2.2,99,2.9,1.5,2.2,23.14722,113.27683
