name,subway,distance,service_rating,price,environment_rating,overall_rating,location_lat,location_lng
海港酒家,黄阁汽车城,540,2.8,80,2.8,4.1,22.837433,113.51696
萧湘馆,黄阁汽车城,390,2.8,45,2.8,2.4,22.839167,113.5142
炉火鱼香时尚烤鱼主题餐厅(大学城贝岗店),大学城北,748,3.7,59,3.9,4.1,23.067287,113.3986
百草堂,大学城北,743,3.1,42,3.2,4.1,23.067139,113.39861
渔堂官洲农庄,大学城北,868,3.45,80,3.25,3.9,23.06933,113.38524
英佰伦西餐酒廊,大学城北,727,2.7,51,2.9,3.9,23.06744,113.39829
原始烤肉(大学城店),大学城北,770,2,64,2.5,3.7,23.067358,113.3988
一町料理,大学城北,955,4.2,58,4.2,3.6,23.067366,113.400734
生物岛江边烧烤驿站,大学城北,897,3.35,47,3.45,3.5,23.070395,113.38592
南兴厨房(大学城店),大学城北,890,3.2,43,3.2,3.2,23.067146,113.400154
青岛啤酒多彩扎啤,大学城北,819,3.25,89,3.3,3.1,23.067957,113.39901
千寻料理·回转寿司,大学城北,751,3.5,47,3.55,3,23.06727,113.39864
小C西点(大学城北店),大学城北,913,3.5,93,3.45,3,23.06441,113.40085
文记潮汕美味馆,大学城北,447,3,40,3,-1,23.061136,113.394295
清阑阁拉面,大学城北,447,0,40,0,-1,23.061136,113.394295
粤川美食,大学城北,447,0,40,0,-1,23.061136,113.394295
光头佬大学城店,大学城北,961,1.6,40,1.5,-1,23.066895,113.40096
中山大鸽饭(黄埔店),大沙地,992,3.9,56,4.35,4.9,23.106188,113.46183
聚汇坊猪肚鸡(丰乐北路),大沙地,872,2.2,81,2.3,4.8,23.113518,113.45943
牛香荟,大沙地,62,3.2,50,3.1,4.6,23.108883,113.45317
绿茵阁(广州大沙地店),大沙地,153,3.2,71,3.4,4.6,23.109879,113.45357
川锅演义,大沙地,863,3.3,56,3.2,4.6,23.11309,113.45965
广州酒家(黄埔店),大沙地,944,2.1,72,2.6,4.5,23.10076,113.455345
二姐养生石锅鱼,大沙地,286,4.35,44,3.8,4.5,23.107527,113.450165
山东老家(丰乐中路店),大沙地,989,3.2,62,3.4,4.5,23.108849,113.46224
利口福(大沙地站店),大沙地,106,3,48,3,4.5,23.10976,113.45291
同湘会(直营第17分店),大沙地,384,3.85,59,4.05,4.4,23.106598,113.45541
火辣一号,大沙地,814,3.8,57,3.7,4.4,23.10661,113.460144
湘音阁,大沙地,851,3,48,3,4.3,23.112844,113.45967
正宗桂林米粉,大沙地,365,4.5,40,4.5,4.3,23.105572,113.45238
玉膳轩私房吊锅,大沙地,421,3.1,56,3,4.3,23.105747,113.4502
黄埔白天鹅,大沙地,390,2.8,42,2.8,4.3,23.105696,113.45423
甜麦麦蛋糕坊,大沙地,754,0,88,0,4.3,23.104494,113.446915
二郎田鸡(黄埔店),大沙地,923,2.2,68,2.2,4.2,23.10948,113.46157
香柏酒店-西餐厅,大沙地,990,3,75,3.1,4.2,23.108997,113.46224
川江渔夫,大沙地,649,3.6,44,3.5,4,23.103302,113.4506
大禾寿司(黄埔店),大沙地,779,3.65,61,3.75,3.9,23.106487,113.45974
秀天下文化传播演艺中心,黄村,313,0,100,0,5,23.140522,113.41589
川家园(黄村店),黄村,940,2.9,52,2.8,4.7,23.130976,113.4178
好客之家(奥体店),黄村,822,3.3,58,3.3,4.3,23.136438,113.42141
烤尚宫,黄村,893,3.65,49,3.65,4.3,23.130857,113.416214
湘裕楼(大观南路店),黄村,828,2.9,49,2.9,4.3,23.131117,113.414215
中华缘大排档,黄村,809,3.1,45,3.1,4.1,23.132513,113.41812
藏湘楼,黄村,159,3,70,2.4,4,23.139814,113.41297
湘乡木桶饭,黄村,873,2,40,2,4,23.130821,113.41522
福建沙县小吃(旭景分店),黄村,816,2.8,40,2.8,4,23.133514,113.40789
澳门新街,黄村,786,2.1,60,1,4,23.135992,113.42088
圣鲸美食汇自助餐厅(奥体店),黄村,984,4.5,48,4.5,3.9,23.137926,113.42332
湘村馆(奥体高徳汇店),黄村,830,2.9,56,3,3.9,23.135937,113.42131
金潮园,黄村,930,2.8,50,2.8,3.8,23.13825,113.422806
蒙古美食村,黄村,776,3.3,96,3.3,3.7,23.137466,113.42121
奥体酒家,黄村,527,2.8,53,2.4,3.7,23.143213,113.41468
农夫3号客家菜,黄村,450,3,80,3,3.6,23.13666,113.4176
尚客,黄村,830,3.5,42,3.5,3.6,23.135937,113.42131
农家庄酒店,黄村,638,2.3,48,2.2,3.5,23.132812,113.41396
光头佬羊庄,黄村,917,2.7,55,2.6,3.5,23.141907,113.40551
5号线生活吧,黄村,552,2.8,45,2.8,3.2,23.137249,113.41892
田园牧歌园林西餐厅,广州塔,770,3.8,55,4.5,5,23.10511,113.33066
WE烧烤餐厅,广州塔,794,3.2,50,3.4,4.9,23.106342,113.33454
涟漪床吧餐厅,广州塔,914,3.8,114,3.9,4.9,23.109274,113.32136
大诚苑燕翅鲍,广州塔,997,2.9,200,3,4.8,23.120249,113.32597
广州塔-赏点点心,广州塔,125,4.1,67,4,4.5,23.112236,113.33099
梨花苑韩国料理,广州塔,974,3.2,73,3.1,4.4,23.109867,113.32054
田园牧歌音乐空间,广州塔,968,3,59,3,4.3,23.103296,113.33033
心动西餐厅,广州塔,815,2.1,86,3,4.3,23.1058,113.33407
香港老港记甜品,广州塔,106,0,44,0,4.3,23.11222,113.330795
潮庭精工,广州塔,989,2.8,76,4.1,4.2,23.10315,113.33087
稻香酒家(新港店),广州塔,512,3.4,65,3.5,4.1,23.10943,113.333954
御信客家王赤岗分店,广州塔,937,2.5,52,2.5,4.1,23.104591,113.33418
卢特斯法国旋转餐厅,广州塔,154,3.3,498,3.4,4.1,23.11238,113.33124
空中1号,广州塔,962,3.1,100,3.8,4,23.120264,113.32703
Don Mateo马地奥西餐厅,广州塔,761,4,40,3,4,23.105175,113.33051
云山珠水酒家,广州塔,898,2.9,50,3.5,4,23.109604,113.321396
红城堡花园主题餐厅,广州塔,660,2.8,184,2.6,3.9,23.11541,113.32451
丽水会餐厅,广州塔,498,2,50,2.5,3.9,23.111334,113.32497
1115私密餐厅,广州塔,845,3.8,143,3.8,3.9,23.105545,113.3254
陕西私房菜,广州塔,815,1.9,47,2.4,3.9,23.1058,113.33407
华运酒店餐厅,沥滘,971,3.2,50,3.2,4.6,23.069122,113.32309
小郭酸菜鱼餐馆,沥滘,789,3.6,40,3.15,4.5,23.067781,113.326065
灯塔吧,沥滘,859,2.8,65,2.6,4.1,23.053083,113.324165
Angela Cake(沥滘店),沥滘,34,2.5,77,3.2,4,23.060574,113.325905
讯裕佳富鸽天下美食(南洲路店),沥滘,883,2.9,68,2.9,3.9,23.06862,113.3249
喜洲吧(港湾店),沥滘,877,3.1,60,3.4,3.9,23.052979,113.32384
潮家砂锅粥(海珠店),沥滘,638,3.55,46,3.45,3.7,23.066046,113.32787
迎福阁酒楼,沥滘,702,3,50,2.9,-1,23.067017,113.32554
臻盛十八道顺德凤城美食,萧岗,253,3,66,3,4.7,23.204279,113.28925
ImCake,萧岗,903,4.1,50,4.05,4.7,23.207415,113.27848
品逸阁西餐厅,萧岗,861,3.2,100,3.4,4.6,23.204239,113.29523
李记港式猪肚鸡(江夏美食广场店),萧岗,835,3.85,43,3.7,4.5,23.212194,113.28684
程记大排档,萧岗,868,3.2,42,3.2,4.5,23.211119,113.291626
甜心啡语(齐富路店),萧岗,886,3.5,40,3.6,4.4,23.199816,113.27994
德记湛江鸡饭店广从路店,萧岗,921,1.9,70,2,4.4,23.209698,113.29398
隆盛客,萧岗,754,3.85,84,3.8,4.4,23.211437,113.28613
潮式汕头福合埕牛肉火锅店,萧岗,742,3.7,60,3.65,4.3,23.203192,113.279724
金唐海鲜酒家,萧岗,900,3.2,53,3.4,4.2,23.200949,113.27899
汕头牛庄,萧岗,854,3.65,68,3.6,4.2,23.212357,113.28712
顶尖俱乐部,萧岗,872,4,50,2,4.2,23.209187,113.2938
湘味食尚(黄石店),萧岗,747,3.55,60,3.6,4.1,23.211395,113.28643
大咖咖啡,萧岗,956,0,58,0,4.1,23.212765,113.28362
满江红时尚川菜馆,萧岗,817,0,50,0,4,23.212025,113.286354
Juice Language 汁言片语,萧岗,863,3.8,49,3.95,4,23.200335,113.279816
海宝酒家(黄石东路店),萧岗,863,0,45,0,4,23.210833,113.281654
岭南东方酒店北座,萧岗,954,4.5,500,4.5,4,23.196104,113.28634
客家小镇,萧岗,859,2.8,55,2.9,3.9,23.207476,113.294655
嘉利家宴,萧岗,917,3.35,47,3.55,3.8,23.205826,113.27792
q吧,广州东站,806,2.4,78,2.9,5,23.148726,113.33255
汉密哈顿,广州东站,873,2.9,100,2.9,5,23.147964,113.33123
潮皇食府(国贸总店),广州东站,946,3.1,100,3.4,4.8,23.147326,113.33004
True Love臻爱蛋糕(林和西店),广州东站,529,3.85,58,3.6,4.8,23.151712,113.328186
正本日本料理(林和东店),广州东站,792,3.3,165,3.2,4.7,23.149544,113.334526
毛家饭店(火车东站店),广州东站,146,2.5,61,2.5,4.6,23.155071,113.32964
老陕居(陕西风味美食),广州东站,853,3.2,40,3.1,4.6,23.158148,113.32288
随轩中餐厅,广州东站,570,3.4,150,3.5,4.6,23.152029,113.32705
探窝汤物料理林和西店,广州东站,526,0,80,0,4.6,23.151802,113.32808
卡撒浓汤(中信广场店),广州东站,945,3,60,3,4.6,23.147326,113.33148
独壹酒吧,广州东站,589,3.1,80,3.1,4.6,23.151958,113.326866
方颂烘焙工房,广州东站,869,3.85,97,3.65,4.6,23.149748,113.336205
涟日本料理,广州东站,323,3.1,60,3.1,4.5,23.153465,113.33271
天河廊,广州东站,550,3.4,74,3.4,4.5,23.152065,113.32732
湘乡土菜馆(林和西路),广州东站,188,3.5,40,3.5,4.5,23.156738,113.32929
锦绣餐饮,广州东站,876,3,234,3.2,4.5,23.147928,113.33062
寅福门(天河店),广州东站,874,3.4,100,3,4.5,23.147947,113.33074
极味海鲜酒楼,广州东站,890,3.7,50,4.5,4.5,23.151812,113.32328
